constructorId,url,name,nationality
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American
simca,http://en.wikipedia.org/wiki/Simca,Simca,French
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American
turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American
