constructorId,url,name,nationality
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian
