constructorId,url,name,nationality
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American
