constructorId,url,name,nationality
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
matra,http://en.wikipedia.org/wiki/Matra,Matra,French
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
