constructorId,url,name,nationality
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),Sherman,American
simca,http://en.wikipedia.org/wiki/Simca,Simca,French
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American
