constructorId,url,name,nationality
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British
mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,MBM,Swiss
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German
