constructorId,url,name,nationality
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British
