position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,120,6,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1980,14
2,2,66,2,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1980,14
3,3,55,3,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1980,14
4,4,38,3,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,1980,14
5,5,14,0,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1980,14
6,6,12,0,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1980,14
7,7,11,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,1980,14
8,8,11,0,fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1980,14
9,9,11,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1980,14
10,10,8,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1980,14
11,11,4,0,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1980,14
,-,0,0,ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,1980,14
,-,0,0,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1980,14
,-,0,0,osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian,1980,14
,-,0,0,shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1980,14
