positionText,points,wins,constructorId,url,name,nationality,season,round
-,0,4,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1957,8
-,0,4,vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,1957,8
-,0,1,epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American,1957,8
-,0,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1957,8
-,0,0,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1957,8
-,0,0,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1957,8
-,0,0,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,1957,8
-,0,0,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1957,8
-,0,0,phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,1957,8
-,0,0,lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1957,8
-,0,0,porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1957,8
-,0,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1957,8
-,0,0,dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American,1957,8
-,0,0,watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1957,8
