position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,703,16,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2015,19
2,2,428,3,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2015,19
3,3,257,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2015,19
4,4,187,0,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2015,19
5,5,136,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2015,19
6,6,78,0,lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British,2015,19
7,7,67,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2015,19
8,8,36,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2015,19
9,9,27,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2015,19
10,10,0,0,manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British,2015,19
