position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,668,12,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2017,20
2,2,522,5,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2017,20
3,3,368,3,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2017,20
4,4,187,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2017,20
5,5,83,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2017,20
6,6,57,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2017,20
7,7,53,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2017,20
8,8,47,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2017,20
9,9,30,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2017,20
10,10,5,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2017,20
