position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,765,19,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2016,21
2,2,468,2,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2016,21
3,3,398,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2016,21
4,4,173,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2016,21
5,5,138,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2016,21
6,6,76,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2016,21
7,7,63,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2016,21
8,8,29,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2016,21
9,9,8,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2016,21
10,10,2,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2016,21
11,11,1,0,manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British,2016,21
