positionText,points,wins,constructorId,url,name,nationality,season,round
-,0,6,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1956,8
-,0,2,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1956,8
-,0,1,watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1956,8
-,0,0,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1956,8
-,0,0,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,1956,8
-,0,0,phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,1956,8
-,0,0,vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,1956,8
-,0,0,gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,1956,8
-,0,0,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1956,8
-,0,0,lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1956,8
-,0,0,stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,1956,8
-,0,0,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1956,8
-,0,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1956,8
-,0,0,bugatti,http://en.wikipedia.org/wiki/Bugatti,Bugatti,French,1956,8
-,0,0,emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British,1956,8
