position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,67,4,brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1967,11
2,2,44,4,lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1967,11
3,3,28,1,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1967,11
4,4,20,1,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1967,11
5,5,20,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1967,11
6,6,17,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1967,11
7,7,13,1,eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,1967,11
8,8,6,0,lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1967,11
9,9,6,0,cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1967,11
10,10,3,0,mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,1967,11
11,11,2,0,brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1967,11
,-,0,0,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1967,11
,-,0,0,brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1967,11
,-,0,0,lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1967,11
,-,0,0,lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African,1967,11
,-,0,0,lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1967,11
,-,0,0,eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,1967,11
,-,0,0,matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1967,11
,-,0,0,protos,http://en.wikipedia.org/wiki/Protos_(constructor),Protos,British,1967,11
,-,0,0,cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British,1967,11
