position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,54,6,lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1965,10
2,2,45,3,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1965,10
3,3,27,0,brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1965,10
4,4,26,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1965,10
5,5,14,0,cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1965,10
6,6,11,1,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1965,10
7,7,5,0,brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,1965,10
8,8,2,0,lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1965,10
,-,0,0,brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1965,10
,-,0,0,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1965,10
,-,0,0,lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African,1965,10
,-,0,0,re,http://en.wikipedia.org/wiki/RE_%28automobile%29,RE,Rhodesian,1965,10
,-,0,0,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1965,10
