position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,655,11,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2018,21
2,2,571,6,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2018,21
3,3,419,4,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2018,21
4,4,122,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2018,21
5,5,111,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2018,21
6,6,93,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2018,21
7,7,62,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2018,21
8,8,48,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2018,21
9,9,33,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2018,21
10,10,7,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2018,21
