position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,113,6,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1979,15
2,2,75,5,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1979,15
3,3,61,3,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1979,15
4,4,39,0,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1979,15
5,5,28,0,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1979,15
6,6,26,1,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,1979,15
7,7,15,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1979,15
8,8,7,0,brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British,1979,15
9,9,5,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,1979,15
10,10,3,0,shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1979,15
11,11,2,0,ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,1979,15
12,12,1,0,fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1979,15
,-,0,0,brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1979,15
,-,0,0,wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian,1979,15
,-,0,0,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1979,15
,-,0,0,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1979,15
,-,0,0,rebaque,http://en.wikipedia.org/wiki/Rebaque,Rebaque,Mexican,1979,15
,-,0,0,merzario,http://en.wikipedia.org/wiki/Merzario,Merzario,Italian,1979,15
,-,0,0,kauhsen,http://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German,1979,15
