positionText,points,wins,constructorId,url,name,nationality,season,round
-,0,7,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1953,9
-,0,1,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1953,9
-,0,1,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1953,9
-,0,0,gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,1953,9
-,0,0,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1953,9
-,0,0,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,1953,9
-,0,0,hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,1953,9
-,0,0,stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,1953,9
-,0,0,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1953,9
-,0,0,veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German,1953,9
-,0,0,osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian,1953,9
-,0,0,bmw,http://en.wikipedia.org/wiki/BMW,BMW,German,1953,9
-,0,0,afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German,1953,9
-,0,0,schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American,1953,9
-,0,0,simca,http://en.wikipedia.org/wiki/Simca,Simca,French,1953,9
-,0,0,emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German,1953,9
-,0,0,turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American,1953,9
-,0,0,lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1953,9
-,0,0,watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1953,9
-,0,0,bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American,1953,9
-,0,0,del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American,1953,9
