position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,141,10,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1989,16
2,2,77,2,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1989,16
3,3,59,3,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1989,16
4,4,39,1,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,1989,16
5,5,16,0,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1989,16
6,6,15,0,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1989,16
7,7,13,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,1989,16
8,8,8,0,dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian,1989,16
9,9,8,0,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1989,16
10,10,6,0,onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),Onyx,British,1989,16
11,11,6,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,1989,16
12,12,4,0,march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1989,16
13,13,3,0,rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,Rial,German,1989,16
14,14,3,0,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1989,16
15,15,1,0,ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French,1989,16
16,16,1,0,larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French,1989,16
,-,0,0,osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian,1989,16
,-,0,0,coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian,1989,16
,-,0,0,zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German,1989,16
,-,0,0,eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian,1989,16
