position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,650,12,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2011,19
2,2,497,6,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2011,19
3,3,375,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2011,19
4,4,165,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2011,19
5,5,73,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2011,19
6,6,69,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2011,19
7,7,44,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2011,19
8,8,41,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2011,19
9,9,5,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2011,19
10,10,0,0,lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian,2011,19
11,11,0,0,hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish,2011,19
12,12,0,0,virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British,2011,19
