position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,95,4,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1981,15
2,2,61,3,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1981,15
3,3,54,3,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,1981,15
4,4,44,2,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1981,15
5,5,34,2,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1981,15
6,6,28,1,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1981,15
7,7,22,0,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1981,15
8,8,10,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,1981,15
9,9,10,0,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1981,15
10,10,10,0,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1981,15
11,11,5,0,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1981,15
12,12,1,0,theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong,1981,15
13,13,1,0,ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,1981,15
,-,0,0,march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1981,15
,-,0,0,fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1981,15
,-,0,0,osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian,1981,15
,-,0,0,toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British,1981,15
