position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,91,7,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1973,15
2,2,80,5,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1973,15
3,3,58,3,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1973,15
4,4,22,0,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1973,15
5,5,14,0,march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1973,15
6,6,12,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1973,15
7,7,12,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1973,15
8,8,9,0,shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1973,15
9,9,7,0,surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1973,15
10,10,2,0,iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,1973,15
11,11,1,0,tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian,1973,15
,-,0,0,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1973,15
