position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,172,8,brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British,2009,17
2,2,153.5,6,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2009,17
3,3,71,2,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2009,17
4,4,70,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2009,17
5,5,59.5,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2009,17
6,6,36,0,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,2009,17
7,7,34.5,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2009,17
8,8,26,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2009,17
9,9,13,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2009,17
10,10,8,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2009,17
