position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,66,6,matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,1969,11
2,2,51,2,brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1969,11
3,3,47,2,lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1969,11
4,4,38,1,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1969,11
5,5,7,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1969,11
6,6,7,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1969,11
,-,0,0,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1969,11
,-,0,0,brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1969,11
,-,0,0,brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British,1969,11
,-,0,0,eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,1969,11
,-,0,0,brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1969,11
