position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,156,9,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1998,16
2,2,133,6,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1998,16
3,3,38,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1998,16
4,4,34,1,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,1998,16
5,5,33,0,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,1998,16
6,6,10,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,1998,16
7,7,6,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,1998,16
8,8,5,0,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British,1998,16
9,9,1,0,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French,1998,16
,-,0,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,1998,16
,-,0,0,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1998,16
