position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,860,21,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2023,22
2,2,409,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2023,22
3,3,406,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2023,22
4,4,302,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2023,22
5,5,280,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2023,22
6,6,120,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2023,22
7,7,28,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2023,22
8,8,25,0,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian,2023,22
9,9,16,0,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,2023,22
10,10,12,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2023,22
