position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,79,6,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1976,16
2,2,71,6,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1976,16
3,3,67,1,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1976,16
4,4,29,1,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1976,16
5,5,20,1,penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,1976,16
6,6,20,0,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1976,16
7,7,19,1,march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1976,16
8,8,10,0,shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1976,16
9,9,9,0,brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British,1976,16
10,10,7,0,surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1976,16
11,11,3,0,fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1976,16
12,12,2,0,ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1976,16
13,13,1,0,parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,1976,16
,-,0,0,hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,1976,16
,-,0,0,wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian,1976,16
,-,0,0,boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch,1976,16
,-,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1976,16
,-,0,0,kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese,1976,16
,-,0,0,brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1976,16
,-,0,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1976,16
