position,positionText,points,wins,constructorId,url,name,nationality,season,round
1,1,62,5,lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1968,12
2,2,49,3,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1968,12
3,3,45,3,matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,1968,12
4,4,32,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1968,12
5,5,28,0,brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1968,12
6,6,14,0,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1968,12
7,7,14,0,cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British,1968,12
8,8,10,0,brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1968,12
9,9,8,0,matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1968,12
10,10,3,0,mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,1968,12
,-,0,0,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1968,12
,-,0,0,eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,1968,12
,-,0,0,lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1968,12
,-,0,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1968,12
,-,0,0,brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1968,12
,-,0,0,lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,1968,12
,-,0,0,cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1968,12
